Index,Persona,Device,Timestamp,entry.392049935,entry.1477233486,entry.1542818651,entry.737780018,entry.2122703884,entry.1725959706,entry.1319162207,entry.372289045,entry.1175131233,entry.732199028,entry.459040376,entry.1410867681,entry.1428864009,entry.168920346,entry.1229830647,entry.285798591,entry.1312370900,entry.1920043945,entry.854429353,entry.322097084,Status
12,Super Fan (Sushi Lover),Desktop,2026-08-28 12:56:52,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,SUCCESS
11,Super Fan (Sushi Lover),Mobile,2026-08-28 12:56:52,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,SUCCESS
18,Super Fan (Sushi Lover),Mobile,2026-08-28 12:56:52,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,SUCCESS
16,Super Fan (Sushi Lover),Desktop,2026-08-28 12:56:52,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,SUCCESS
13,Super Fan (Sushi Lover),Mobile,2026-08-28 12:56:52,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,SUCCESS
15,Value-Conscious Diner,Desktop,2026-08-28 12:56:52,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,3 = เห็นด้วยปานกลาง / สำคัญปานกลาง,3 = เห็นด้วยปานกลาง / สำคัญปานกลาง,4 = เห็นด้วย / สำคัญมาก,3 = เห็นด้วยปานกลาง / สำคัญปานกลาง,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,SUCCESS
17,Satisfied Pragmatist,Desktop,2026-08-28 12:56:52,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,SUCCESS
14,Super Fan (Sushi Lover),Desktop,2026-08-28 12:56:52,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,SUCCESS
19,Value-Conscious Diner,Desktop,2026-08-28 12:56:53,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,3 = เห็นด้วยปานกลาง / สำคัญปานกลาง,3 = เห็นด้วยปานกลาง / สำคัญปานกลาง,3 = เห็นด้วยปานกลาง / สำคัญปานกลาง,3 = เห็นด้วยปานกลาง / สำคัญปานกลาง,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,3 = เห็นด้วยปานกลาง / สำคัญปานกลาง,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,3 = เห็นด้วยปานกลาง / สำคัญปานกลาง,4 = เห็นด้วย / สำคัญมาก,3 = เห็นด้วยปานกลาง / สำคัญปานกลาง,4 = เห็นด้วย / สำคัญมาก,SUCCESS
23,Satisfied Pragmatist,Mobile,2026-08-28 12:56:53,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,SUCCESS
21,Super Fan (Sushi Lover),Desktop,2026-08-28 12:56:53,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,4 = เห็นด้วย / สำคัญมาก,4 = เห็นด้วย / สำคัญมาก,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,5 = เห็นด้วยอย่างยิ่ง / สำคัญมากที่สุด,SUCCESS
