response_num,gender,age,occupation,know_host,media_channel,interest_level,participation,benefits,status
11,ชาย,26 - 35 ปี,ค้าขาย/เจ้าของธุรกิจ,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,ไม่สนใจเลย,เข้าชมการแข่งขันในสนาม,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
12,ชาย,36 - 45 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจมาก,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
13,หญิง,26 - 35 ปี,พนักงานบริษัทเอกชน,ไม่ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจมากที่สุด,เข้าชมการแข่งขันในสนาม,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
14,ชาย,26 - 35 ปี,พนักงานบริษัทเอกชน,ไม่ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,ไม่สนใจเลย,เข้าชมการแข่งขันในสนาม,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
15,หญิง,26 - 35 ปี,ประกอบอาชีพอิสระ,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมากที่สุด,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
16,หญิง,36 - 45 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ไม่ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจมากที่สุด,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
17,ชาย,18 - 25 ปี,ประกอบอาชีพอิสระ,ไม่ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมากที่สุด,เข้าชมการแข่งขันในสนาม,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
18,ชาย,36 - 45 ปี,ประกอบอาชีพอิสระ,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจปานกลาง,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
19,ชาย,18 - 25 ปี,ประกอบอาชีพอิสระ,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมากที่สุด,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
20,หญิง,26 - 35 ปี,พนักงานบริษัทเอกชน,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,ไม่สนใจเลย,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
21,ชาย,26 - 35 ปี,นักเรียน/นักศึกษา,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจปานกลาง,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
22,หญิง,18 - 25 ปี,ค้าขาย/เจ้าของธุรกิจ,ไม่ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจมาก,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
23,หญิง,36 - 45 ปี,ค้าขาย/เจ้าของธุรกิจ,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจน้อย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
24,หญิง,36 - 45 ปี,นักเรียน/นักศึกษา,ไม่ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจมาก,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
25,หญิง,36 - 45 ปี,ค้าขาย/เจ้าของธุรกิจ,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจมากที่สุด,เข้าชมการแข่งขันในสนาม,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
26,หญิง,36 - 45 ปี,ค้าขาย/เจ้าของธุรกิจ,ไม่ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมาก,เข้าชมการแข่งขันในสนาม,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
27,ชาย,18 - 25 ปี,พนักงานบริษัทเอกชน,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมาก,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
28,หญิง,18 - 25 ปี,ประกอบอาชีพอิสระ,ไม่ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจปานกลาง,เข้าชมการแข่งขันในสนาม,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
29,หญิง,18 - 25 ปี,นักเรียน/นักศึกษา,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมาก,เข้าชมการแข่งขันในสนาม,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
30,ชาย,18 - 25 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจมากที่สุด,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
31,ชาย,18 - 25 ปี,พนักงานบริษัทเอกชน,ไม่ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจน้อย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
32,ชาย,36 - 45 ปี,พนักงานบริษัทเอกชน,ไม่ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจน้อย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
33,หญิง,36 - 45 ปี,นักเรียน/นักศึกษา,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจน้อย,เข้าชมการแข่งขันในสนาม,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
34,หญิง,18 - 25 ปี,ประกอบอาชีพอิสระ,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจมาก,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
35,ชาย,36 - 45 ปี,ประกอบอาชีพอิสระ,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจน้อย,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
36,หญิง,36 - 45 ปี,นักเรียน/นักศึกษา,ไม่ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจน้อย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
37,ชาย,18 - 25 ปี,นักเรียน/นักศึกษา,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",ไม่สนใจเลย,เข้าชมการแข่งขันในสนาม,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
38,ชาย,26 - 35 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ไม่ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจมากที่สุด,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
39,ชาย,26 - 35 ปี,นักเรียน/นักศึกษา,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจน้อย,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
40,ชาย,36 - 45 ปี,ค้าขาย/เจ้าของธุรกิจ,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจปานกลาง,เข้าชมการแข่งขันในสนาม,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
41,หญิง,36 - 45 ปี,นักเรียน/นักศึกษา,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจน้อย,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
42,หญิง,26 - 35 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจน้อย,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
43,ชาย,36 - 45 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจน้อย,เข้าชมการแข่งขันในสนาม,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
44,หญิง,36 - 45 ปี,พนักงานบริษัทเอกชน,ไม่ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจมากที่สุด,เข้าชมการแข่งขันในสนาม,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
45,ชาย,26 - 35 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจน้อย,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
46,ชาย,26 - 35 ปี,นักเรียน/นักศึกษา,ไม่ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจน้อย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
47,ชาย,26 - 35 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ไม่ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจน้อย,เข้าชมการแข่งขันในสนาม,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
48,ชาย,26 - 35 ปี,ค้าขาย/เจ้าของธุรกิจ,ไม่ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจน้อย,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
49,หญิง,26 - 35 ปี,พนักงานบริษัทเอกชน,ไม่ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจมาก,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
50,ชาย,26 - 35 ปี,ประกอบอาชีพอิสระ,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจปานกลาง,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
51,หญิง,26 - 35 ปี,ประกอบอาชีพอิสระ,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจน้อย,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
52,หญิง,18 - 25 ปี,นักเรียน/นักศึกษา,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจปานกลาง,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
53,ชาย,36 - 45 ปี,ประกอบอาชีพอิสระ,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจมาก,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
54,ชาย,36 - 45 ปี,พนักงานบริษัทเอกชน,ไม่ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจปานกลาง,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
55,หญิง,26 - 35 ปี,นักเรียน/นักศึกษา,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจมาก,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
56,หญิง,36 - 45 ปี,ประกอบอาชีพอิสระ,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมากที่สุด,เข้าชมการแข่งขันในสนาม,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
57,ชาย,36 - 45 ปี,ประกอบอาชีพอิสระ,ไม่ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจมากที่สุด,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
58,ชาย,18 - 25 ปี,ประกอบอาชีพอิสระ,ไม่ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมาก,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
59,หญิง,18 - 25 ปี,ประกอบอาชีพอิสระ,ไม่ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมากที่สุด,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
60,หญิง,18 - 25 ปี,พนักงานบริษัทเอกชน,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจน้อย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
61,หญิง,36 - 45 ปี,ค้าขาย/เจ้าของธุรกิจ,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมาก,เข้าชมการแข่งขันในสนาม,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
62,ชาย,18 - 25 ปี,นักเรียน/นักศึกษา,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,สนใจน้อย,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
63,ชาย,36 - 45 ปี,นักเรียน/นักศึกษา,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจปานกลาง,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
64,ชาย,18 - 25 ปี,นักเรียน/นักศึกษา,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจน้อย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
65,ชาย,36 - 45 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ไม่ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจมากที่สุด,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
66,หญิง,18 - 25 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมากที่สุด,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
67,หญิง,36 - 45 ปี,นักเรียน/นักศึกษา,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจปานกลาง,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
68,ชาย,18 - 25 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ไม่ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",ไม่สนใจเลย,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านภาพลักษณ์: สร้างชื่อเสียงและภาพลักษณ์ที่ดีของประเทศในระดับนานาชาติ,Success
69,ชาย,26 - 35 ปี,ค้าขาย/เจ้าของธุรกิจ,ไม่ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจน้อย,ซื้อสินค้าหรือของที่ระลึกที่เกี่ยวข้อง,ด้านการท่องเที่ยว: ดึงดูดนักท่องเที่ยวต่างชาติให้เดินทางมาไทยมากขึ้น,Success
70,หญิง,26 - 35 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ไม่ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจน้อย,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
71,ชาย,18 - 25 ปี,นักเรียน/นักศึกษา,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจน้อย,เข้าชมการแข่งขันในสนาม,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
72,ชาย,26 - 35 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ไม่ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจมาก,ชมการถ่ายทอดสดผ่านโทรทัศน์หรือช่องทางออนไลน์,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
73,หญิง,26 - 35 ปี,ข้าราชการ/พนักงานรัฐวิสาหกิจ,ทราบ,"สื่อสังคมออนไลน์ (เช่น Facebook, Twitter, Instagram, TikTok)",สนใจน้อย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
74,หญิง,26 - 35 ปี,นักเรียน/นักศึกษา,ทราบ,เว็บไซต์ข่าว/แอปพลิเคชันข่าว,ไม่สนใจเลย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านสังคม: ส่งเสริมการกีฬาและสร้างแรงบันดาลใจให้กับคนในประเทศ,Success
75,ชาย,36 - 45 ปี,ค้าขาย/เจ้าของธุรกิจ,ทราบ,ป้ายโฆษณา/สื่อประชาสัมพันธ์ภายนอก,สนใจน้อย,เข้าร่วมกิจกรรมประชาสัมพันธ์หรือกิจกรรมเสริมต่างๆ,ด้านเศรษฐกิจ: เพิ่มรายได้จากการท่องเที่ยวและการใช้จ่ายที่เกี่ยวข้อง,Success
